frecuencia,X,Y,R,T
200,0.2020140290260315,-0.0025952430441975594,0.2020307034254074,-0.7360296845436096
400,0.20188045501708984,-0.005411853082478046,0.2019529789686203,-1.535571575164795
600,0.20168150961399078,-0.008189361542463303,0.20184771716594696,-2.325242280960083
800,0.20139740407466888,-0.010941685177385807,0.20169441401958466,-3.109755754470825
1000,0.20105889439582825,-0.013670960441231728,0.20152314007282257,-3.8898284435272217
1200,0.20062290132045746,-0.016383454203605652,0.20129074156284332,-4.668581008911133
1400,0.20011533796787262,-0.01907145231962204,0.20102205872535706,-5.443976402282715
1600,0.1995568573474884,-0.02173839509487152,0.2007373869419098,-6.216907978057861
1800,0.19893376529216766,-0.024380020797252655,0.20042212307453156,-6.986955165863037
2000,0.19822970032691956,-0.02699178084731102,0.2000589221715927,-7.753946304321289
2200,0.19746847450733185,-0.029575787484645844,0.19967103004455566,-8.518141746520996
2400,0.1966390460729599,-0.03212583437561989,0.19924603402614594,-9.278703689575195
2600,0.1957356035709381,-0.03464047238230705,0.1987772285938263,-10.036050796508789
2800,0.19477646052837372,-0.037119269371032715,0.1982818990945816,-10.789689064025879
3000,0.19375398755073547,-0.039556119590997696,0.19775058329105377,-11.53873348236084
3200,0.1926778107881546,-0.041956450790166855,0.19719301164150238,-12.284640312194824
3400,0.19155435264110565,-0.04431138560175896,0.19661273062229156,-13.024867057800293
3600,0.19037778675556183,-0.04662308841943741,0.19600361585617065,-13.760771751403809
3800,0.18914078176021576,-0.04888661578297615,0.19535644352436066,-14.491901397705078
4000,0.1878547966480255,-0.05110380798578262,0.19468185305595398,-15.218400955200195
4200,0.1865348070859909,-0.05327516421675682,0.1939934939146042,-15.9395751953125
4400,0.1851462423801422,-0.05538839101791382,0.19325374066829681,-16.65509033203125
4600,0.18373577296733856,-0.05745779350399971,0.19251033663749695,-17.365488052368164
4800,0.1822962909936905,-0.05947637930512428,0.19175341725349426,-18.069543838500977
5000,0.1808120608329773,-0.06144184246659279,0.19096623361110687,-18.768301010131836
5200,0.17929063737392426,-0.06335132569074631,0.19015394151210785,-19.460569381713867
5400,0.17773452401161194,-0.06520762294530869,0.18931877613067627,-20.14718246459961
5600,0.1761593371629715,-0.06701207160949707,0.18847475945949554,-20.827116012573242
5800,0.17455020546913147,-0.06875867396593094,0.18760472536087036,-21.500431060791016
6000,0.17290900647640228,-0.07045076787471771,0.18671056628227234,-22.16815185546875
6200,0.17125336825847626,-0.07209207117557526,0.18580900132656097,-22.829498291015625
6400,0.16959303617477417,-0.0736815482378006,0.1849074512720108,-23.483062744140625
6600,0.1678970456123352,-0.07521211355924606,0.18397358059883118,-24.130741119384766
6800,0.1661674827337265,-0.0766790509223938,0.18300630152225494,-24.771263122558594
7000,0.16443976759910583,-0.07810129970312119,0.1820446401834488,-25.405559539794922
7200,0.1626933068037033,-0.07946470379829407,0.18106284737586975,-26.032386779785156
7400,0.1609567254781723,-0.08079125732183456,0.18009522557258606,-26.65408706665039
7600,0.1591980904340744,-0.0820544883608818,0.17910043895244598,-27.267658233642578
7800,0.15743163228034973,-0.08326777815818787,0.17809616029262543,-27.874982833862305
8000,0.15566328167915344,-0.08442952483892441,0.17708584666252136,-28.474767684936523
8200,0.15389332175254822,-0.08554386347532272,0.17607073485851288,-29.06813621520996
8400,0.1521259993314743,-0.08660729974508286,0.17505183815956116,-29.65341567993164
8600,0.15034119784832,-0.08761619031429291,0.1740088313817978,-30.23287582397461
8800,0.14858300983905792,-0.08859020471572876,0.17298883199691772,-30.804821014404297
9000,0.14680428802967072,-0.08950108289718628,0.17193585634231567,-31.369096755981445
