Barrido en frecuencia -> f_inicial:200, f_final:125000, f_step:200
Parametros -> N: 500, Fuente: 1, F_dac:124794.896692 
Formato -> f,r,phi

200.000000000000,3667.304434318537,-0.736179027447
400.000000000000,3665.940023076546,-1.467553966720
600.000000000000,3664.006728822366,-2.197398781996
800.000000000000,3661.520536750879,-2.923577828681
1000.000000000000,3658.321828626013,-3.649086125366
1200.000000000000,3654.672313316179,-4.372156843630
1400.000000000000,3650.366602745078,-5.093731523315
1600.000000000000,3645.484494038755,-5.811364407011
1800.000000000000,3640.074857058295,-6.528232177040
2000.000000000000,3634.094383350155,-7.241367934458
2200.000000000000,3627.505795965609,-7.953315861311
2400.000000000000,3620.423745757887,-8.659358763808
2600.000000000000,3612.817452052839,-9.364482614720
2800.000000000000,3604.737145794564,-10.064132560395
3000.000000000000,3596.125065111059,-10.762326660296
3200.000000000000,3587.005894155836,-11.455165451235
3400.000000000000,3577.435482411879,-12.145492845585
3600.000000000000,3567.398115079187,-12.840885587380
3800.000000000000,3556.887204029284,-13.511936350810
4000.000000000000,3545.965718123080,-14.187596145328
4200.000000000000,3534.558786789742,-14.860214498892
4400.000000000000,3522.821828745976,-15.539432481186
4600.000000000000,3510.578720285871,-16.190135086926
4800.000000000000,3497.938354294346,-16.846684974543
5000.000000000000,3485.089559821388,-17.500000125603
5200.000000000000,3471.867140926606,-18.147413861756
5400.000000000000,3458.279544800651,-18.788319113132
5600.000000000000,3444.244395188950,-19.424918481474
5800.000000000000,3430.043028187263,-20.055560864447
6000.000000000000,3415.500001854793,-20.681638137713
6200.000000000000,3400.711635552886,-21.300372733412
6400.000000000000,3385.657256563907,-21.916199123180
6600.000000000000,3370.287339659409,-22.523214093563
6800.000000000000,3354.690818188975,-23.126758733261
7000.000000000000,3339.030980164980,-23.722418045084
7200.000000000000,3322.987831411235,-24.313292181931
7400.000000000000,3306.889251549686,-24.898166666528
7600.000000000000,3290.443248311442,-25.476707236057
7800.000000000000,3273.989292622964,-26.049319518881
8000.000000000000,3257.361831874996,-26.616023929277
8200.000000000000,3240.558245612203,-27.176975141627
8400.000000000000,3223.682043075653,-27.735001333722
8600.000000000000,3206.620871113979,-28.282010748422
8800.000000000000,3189.416048984513,-28.824216125483
9000.000000000000,3172.213169520198,-29.360877625728
9200.000000000000,3154.880097731587,-29.892509691089
9400.000000000000,3137.438868930392,-30.419081883825
9600.000000000000,3119.968602408008,-30.938617353820
9800.000000000000,3102.499774067465,-31.449149490330
10000.000000000000,3084.909228561822,-31.956357252519
10200.000000000000,3067.344569701609,-32.457034374585
10400.000000000000,3049.677953423287,-32.951594424160
10600.000000000000,3032.040970805142,-33.441156018548
10800.000000000000,3014.468143216429,-33.924492359626
11000.000000000000,2996.802654578341,-34.402318658704
11200.000000000000,2979.198429569989,-34.873374606122
11400.000000000000,2961.511715774314,-35.339817304243
11600.000000000000,2943.931721563758,-35.799676301248
11800.000000000000,2926.340053622318,-36.254488245114
12000.000000000000,2908.856497828047,-36.703985831627
12200.000000000000,2891.333809628095,-37.148314042795
12400.000000000000,2873.946206542260,-37.586243812579
12600.000000000000,2856.556593509706,-38.018995016812
12800.000000000000,2839.181628744043,-38.445941480822
13000.000000000000,2821.869873304498,-38.868999352419
13200.000000000000,2804.619526926994,-39.284538097369
13400.000000000000,2787.385597464369,-39.694424046226
13600.000000000000,2770.401778510191,-40.098274730441
13800.000000000000,2753.360770814333,-40.501291707930
14000.000000000000,2736.571718167583,-40.900262236849
14200.000000000000,2719.753994434826,-41.291712354058
14400.000000000000,2702.981911326167,-41.677175261122
14600.000000000000,2686.304765528371,-42.058277200305
14800.000000000000,2669.726637613942,-42.434201292480
15000.000000000000,2653.309756485487,-42.807320541146
15200.000000000000,2636.889764443246,-43.169097226820
15400.000000000000,2620.640590280312,-43.528178299337
15600.000000000000,2604.446335628952,-43.893554788471
