Barrido en frecuencia -> f_inicial:2000, f_final:2000000, f_step:2000
Parametros -> N: 512, Fuente: 1, F_dac:1997922.081500 
Formato -> f,r,phi

2000.000000000000,3702.158014721282,-0.135876422496
4000.000000000000,3707.999064348993,-0.287294753792
6000.000000000000,3717.363541884934,-0.475979798186
8000.000000000000,3729.162504183431,-0.711677215130
10000.000000000000,3742.065754885024,-1.001564255966
12000.000000000000,3755.177602541804,-1.340394555667
14000.000000000000,3767.681542315868,-1.722509593075
16000.000000000000,3779.305574394837,-2.138101419611
18000.000000000000,3789.710984166241,-2.581267577522
20000.000000000000,3798.814253120167,-3.048609475750
22000.000000000000,3806.423149317409,-3.530257666786
24000.000000000000,3812.833497810872,-4.024302961079
26000.000000000000,3817.984443902307,-4.536036677284
28000.000000000000,3821.563715729721,-5.045675937540
30000.000000000000,3824.107198468620,-5.553703725820
32000.000000000000,3825.475954340965,-6.063139785540
34000.000000000000,3826.093178283979,-6.570391309807
36000.000000000000,3825.919253169104,-7.075636241080
38000.000000000000,3824.755211606181,-7.578378306813
40000.000000000000,3823.093280323285,-8.080554820689
42000.000000000000,3820.722500240604,-8.578616623489
44000.000000000000,3817.790180823831,-9.074047182456
46000.000000000000,3814.459875817649,-9.566284412506
48000.000000000000,3810.433362842040,-10.056582560639
50000.000000000000,3806.082779414145,-10.542032621753
52000.000000000000,3801.216836587503,-11.024342816402
54000.000000000000,3796.006631627927,-11.504897675758
56000.000000000000,3790.372267421065,-11.980356743443
58000.000000000000,3784.548234168543,-12.454059078967
60000.000000000000,3778.303173659998,-12.923760056790
62000.000000000000,3771.737655901635,-13.390753406008
64000.000000000000,3764.793044253010,-13.853817323950
66000.000000000000,3757.628373071089,-14.314445213433
68000.000000000000,3750.226991729495,-14.772137746525
70000.000000000000,3742.601043810334,-15.226705175926
72000.000000000000,3734.739505593406,-15.677910229249
74000.000000000000,3726.637472720367,-16.125713972594
76000.000000000000,3718.227018579749,-16.570857994643
78000.000000000000,3709.631554612144,-17.012854739839
80000.000000000000,3700.921762269384,-17.452009717120
82000.000000000000,3691.871637361228,-17.888399450792
84000.000000000000,3682.704493630375,-18.321400929748
86000.000000000000,3673.386903079542,-18.751722528757
88000.000000000000,3663.893130795651,-19.178878789067
90000.000000000000,3654.263561510937,-19.602795954154
92000.000000000000,3644.415528292270,-20.024384655156
94000.000000000000,3634.410764689989,-20.442880967195
96000.000000000000,3624.313844335065,-20.857874633711
98000.000000000000,3614.014397840948,-21.270733881205
100000.000000000000,3603.649187112374,-21.680035862329
102000.000000000000,3593.103260506701,-22.086522524115
