Barrido de ctes de tiempo -> N_inicial:128, N_final:256
Parametros -> f: 9999.610483646393, Fuente: 1, Iteraciones: 50
Formato -> N,mean_r,std_r

128.000000000000,3753.916996762982,0.239581436227
129.000000000000,3753.906569141408,0.253808924418
130.000000000000,3753.941185475311,0.235728684428
131.000000000000,3753.918787652936,0.205139126224
132.000000000000,3753.880508229397,0.176775202759
133.000000000000,3753.886339815389,0.132606687223
134.000000000000,3753.822224132682,0.143107757961
135.000000000000,3753.883445549211,0.302688718952
136.000000000000,3753.844129697646,0.066642480206
137.000000000000,3753.886384566884,0.223410310795
138.000000000000,3754.000969536661,0.360697667680
139.000000000000,3753.941512126549,0.241723375125
140.000000000000,3753.906452140124,0.073289993985
141.000000000000,3753.998626344498,0.209837193244
142.000000000000,3753.977053148672,0.193513765854
143.000000000000,3753.914756318849,0.172733017904
144.000000000000,3753.955091596548,0.281473297843
145.000000000000,3753.941462804379,0.273791926753
146.000000000000,3753.838086882292,0.138605980581
147.000000000000,3753.837512980842,0.071557485299
148.000000000000,3753.817954740716,0.071915911590
149.000000000000,3753.862586851277,0.219540908570
150.000000000000,3753.794804739308,0.226763802637
151.000000000000,3753.823091401447,0.233938794674
152.000000000000,3753.793915937198,0.188773923737
153.000000000000,3753.843909815521,0.222466294387
154.000000000000,3753.791043688291,0.076741899740
155.000000000000,3753.796321728752,0.069602207299
156.000000000000,3753.780818815722,0.152871149308
157.000000000000,3753.704685329044,0.150506151865
158.000000000000,3753.745606635312,0.194683202505
159.000000000000,3753.763032198214,0.060211545211
160.000000000000,3753.771810552621,0.067969129772
161.000000000000,3753.753859025503,0.077324746720
162.000000000000,3753.716206744789,0.177927129170
163.000000000000,3753.735149422368,0.234074044287
164.000000000000,3753.728734422963,0.236055337706
165.000000000000,3753.621733537317,0.094009709062
166.000000000000,3753.687416342303,0.047647865622
167.000000000000,3753.677626296652,0.060866411550
168.000000000000,3753.722880463255,0.222049964694
169.000000000000,3753.743632847248,0.217698372408
170.000000000000,3753.738898624230,0.189850418905
171.000000000000,3753.678694767399,0.072154243401
172.000000000000,3753.724919540610,0.261546059045
173.000000000000,3753.654476580694,0.087257147934
174.000000000000,3753.658353842088,0.208964500456
175.000000000000,3753.703197006822,0.195918926278
176.000000000000,3753.697076101110,0.159576484942
177.000000000000,3753.676496132033,0.132143484478
178.000000000000,3753.546785097333,0.161601408320
179.000000000000,3753.401707833387,0.278157385729
180.000000000000,3753.593551381879,0.229617526592
181.000000000000,3753.647413420716,0.213250445237
182.000000000000,3753.697027973862,0.166825001598
183.000000000000,3753.700771448582,0.110767796652
184.000000000000,3753.700265984775,0.117094049698
185.000000000000,3753.710891752289,0.185118082260
186.000000000000,3753.693016487612,0.185267779163
187.000000000000,3753.672552385288,0.187875137150
188.000000000000,3753.707096735290,0.199579798735
189.000000000000,3753.658175047950,0.201251949817
190.000000000000,3753.676351174126,0.250483688477
191.000000000000,3753.704678579429,0.196132907858
192.000000000000,3753.620125285818,0.100927761271
193.000000000000,3753.596362758617,0.148119430105
194.000000000000,3753.572137789445,0.142407704114
195.000000000000,3753.672975534662,0.243985144179
196.000000000000,3753.579988542100,0.113314930443
197.000000000000,3753.572629430140,0.199727673549
198.000000000000,3753.579995229575,0.106530293826
199.000000000000,3753.619161724778,0.114587795570
200.000000000000,3753.642465584544,0.186001529803
201.000000000000,3753.626017807222,0.272483711920
202.000000000000,3753.636180459277,0.200508878572
203.000000000000,3753.496298205132,0.068854959437
204.000000000000,3753.549950929028,0.169103348607
205.000000000000,3753.580302764498,0.193303308339
206.000000000000,3753.609225920792,0.152759629590
207.000000000000,3753.594988133189,0.186386236491
208.000000000000,3753.598882164081,0.144749755379
209.000000000000,3753.554389196768,0.145682994252
210.000000000000,3753.474284187907,0.071299473669
211.000000000000,3753.574158233268,0.179121740664
212.000000000000,3753.589305460494,0.216333660562
213.000000000000,3753.552910775665,0.210323104558
214.000000000000,3753.487916256127,0.126462290960
215.000000000000,3753.489816726745,0.190711419766
216.000000000000,3753.507211451499,0.174152814969
217.000000000000,3753.432410371224,0.236714214855
218.000000000000,3753.396482773090,0.055793176152
219.000000000000,3753.413247177555,0.208228361115
220.000000000000,3753.461135068994,0.205532197175
221.000000000000,3753.483138408230,0.178072956500
222.000000000000,3753.508847277921,0.112820161975
223.000000000000,3753.454216083607,0.164519454183
224.000000000000,3753.416578041387,0.104263814960
225.000000000000,3753.420976616630,0.113400680655
226.000000000000,3753.427569141628,0.136919782772
227.000000000000,3753.413285842099,0.058968790634
228.000000000000,3753.458090142018,0.175704666557
229.000000000000,3753.417336574244,0.178575419678
230.000000000000,3753.410184084606,0.155344074843
231.000000000000,3753.424767863705,0.171874985592
232.000000000000,3753.429497981921,0.117488214009
233.000000000000,3753.432042182910,0.152358890767
234.000000000000,3753.474773455116,0.200144369022
235.000000000000,3753.440503520808,0.118972820842
236.000000000000,3753.408999789021,0.095211283832
237.000000000000,3753.413244379993,0.145977702160
238.000000000000,3753.418181740904,0.129886396356
239.000000000000,3753.395779340617,0.142413552473
240.000000000000,3753.333202028515,0.094406214389
241.000000000000,3753.428776176153,0.142706303540
242.000000000000,3753.380182616227,0.127374737059
243.000000000000,3753.380564022065,0.204877569135
244.000000000000,3753.345359358115,0.107088136577
245.000000000000,3753.342532196964,0.126338562198
246.000000000000,3753.298318943799,0.122624454947
247.000000000000,3753.295859678585,0.153187446134
248.000000000000,3753.276570275297,0.152613396181
249.000000000000,3753.316685319236,0.187112209451
250.000000000000,3753.331982855944,0.132459734454
